type,treatment_type,indicator,bins,num,total,perc,region,race_dat,age_dat
headstart,treatment,CANCER,0% to 50%,276790,839207,0.3298232736380893,Regions 1 to 10,NA,NA
headstart,treatment,CANCER,75% to 90%,398035,839207,0.47429895127185545,Regions 1 to 10,NA,NA
headstart,treatment,CANCER,90% to 100%,164307,839207,0.19578840500615463,Regions 1 to 10,NA,NA
headstart,treatment,DSLPM,0% to 50%,417170,839207,0.4971002386777041,Regions 1 to 10,NA,NA
headstart,treatment,DSLPM,50% to 75%,194102,839207,0.23129216033708014,Regions 1 to 10,NA,NA
headstart,treatment,DSLPM,75% to 90%,125535,839207,0.14958764643288247,Regions 1 to 10,NA,NA
headstart,treatment,DSLPM,90% to 100%,102325,839207,0.1219305844684327,Regions 1 to 10,NA,NA
headstart,treatment,OZONE,0% to 50%,428357,839207,0.5104306803923228,Regions 1 to 10,NA,NA
headstart,treatment,OZONE,50% to 75%,178349,839207,0.2125208679145908,Regions 1 to 10,NA,NA
headstart,treatment,OZONE,75% to 90%,114742,839207,0.13672669555902178,Regions 1 to 10,NA,NA
headstart,treatment,OZONE,90% to 100%,84065,839207,0.10017194804142482,Regions 1 to 10,NA,NA
headstart,treatment,P_LDPNT,0% to 50%,331947,839207,0.39554841654085343,Regions 1 to 10,NA,NA
headstart,treatment,P_LDPNT,50% to 75%,275721,839207,0.3285494520422256,Regions 1 to 10,NA,NA
headstart,treatment,P_LDPNT,75% to 90%,151389,839207,0.1803953017551093,Regions 1 to 10,NA,NA
headstart,treatment,P_LDPNT,90% to 100%,80150,839207,0.09550682966181169,Regions 1 to 10,NA,NA
headstart,treatment,PM25,0% to 50%,370178,839207,0.4411045189089223,Regions 1 to 10,NA,NA
headstart,treatment,PM25,50% to 75%,218703,839207,0.260606739457607,Regions 1 to 10,NA,NA
headstart,treatment,PM25,75% to 90%,121111,839207,0.1443160030838637,Regions 1 to 10,NA,NA
headstart,treatment,PM25,90% to 100%,95521,839207,0.11382293045696712,Regions 1 to 10,NA,NA
headstart,treatment,RESP,0% to 50%,394762,839207,0.47039884081043176,Regions 1 to 10,NA,NA
headstart,treatment,RESP,75% to 90%,252715,839207,0.3011354767059855,Regions 1 to 10,NA,NA
headstart,treatment,RESP,90% to 100%,191655,839207,0.2283763123996821,Regions 1 to 10,NA,NA
headstart,treatment,CANCER,0% to 50%,9259,23714,0.39044446318630344,Migrant and Seasonal Worker,NA,NA
headstart,treatment,CANCER,75% to 90%,13255,23714,0.5589525175002108,Migrant and Seasonal Worker,NA,NA
headstart,treatment,CANCER,90% to 100%,1200,23714,0.0506030193134857,Migrant and Seasonal Worker,NA,NA
headstart,treatment,DSLPM,0% to 50%,18870,23714,0.7957324787045627,Migrant and Seasonal Worker,NA,NA
headstart,treatment,DSLPM,50% to 75%,3352,23714,0.14135110061567008,Migrant and Seasonal Worker,NA,NA
headstart,treatment,DSLPM,75% to 90%,1492,23714,0.06291642067976723,Migrant and Seasonal Worker,NA,NA
headstart,treatment,OZONE,0% to 50%,12949,23714,0.546048747575272,Migrant and Seasonal Worker,NA,NA
headstart,treatment,OZONE,50% to 75%,3633,23714,0.15320064097157798,Migrant and Seasonal Worker,NA,NA
headstart,treatment,OZONE,75% to 90%,3700,23714,0.15602597621658093,Migrant and Seasonal Worker,NA,NA
headstart,treatment,OZONE,90% to 100%,3432,23714,0.14472463523656912,Migrant and Seasonal Worker,NA,NA
headstart,treatment,P_LDPNT,0% to 50%,13663,23714,0.576157544066796,Migrant and Seasonal Worker,NA,NA
headstart,treatment,P_LDPNT,50% to 75%,7505,23714,0.3164797166230918,Migrant and Seasonal Worker,NA,NA
headstart,treatment,P_LDPNT,75% to 90%,2165,23714,0.09129628067808046,Migrant and Seasonal Worker,NA,NA
headstart,treatment,P_LDPNT,90% to 100%,381,23714,0.01606645863203171,Migrant and Seasonal Worker,NA,NA
headstart,treatment,PM25,0% to 50%,12969,23714,0.5468921312304967,Migrant and Seasonal Worker,NA,NA
headstart,treatment,PM25,50% to 75%,3822,23714,0.16117061651345196,Migrant and Seasonal Worker,NA,NA
headstart,treatment,PM25,75% to 90%,2493,23714,0.10512777262376655,Migrant and Seasonal Worker,NA,NA
headstart,treatment,PM25,90% to 100%,4430,23714,0.18680947963228473,Migrant and Seasonal Worker,NA,NA
headstart,treatment,RESP,0% to 50%,13959,23714,0.5886396221641225,Migrant and Seasonal Worker,NA,NA
